Add Customer Note,Kundennotiz hinzufügen
Note,Notiz
You can add a note for the customer before approving the agreement.,Sie können vor der Genehmigung der Vereinbarung eine Notiz für den Kunden hinzufügen.
Save and Continue,Speichern und fortfahren
Continue (Don't Add Note),Fortfahren (keine Notiz hinzufügen)
Active agreement exists for this customer-supplier:,Aktive Vereinbarung für diesen Kunden-Lieferanten vorhanden:
Do you want to cancel the existing agreement and approve the new agreement?,Möchten Sie die bestehende Vereinbarung stornieren und die neue Vereinbarung genehmigen?
Processing...,Wird verarbeitet...
Operation failed,Vorgang fehlgeschlagen
Agreement remained as draft,Vereinbarung blieb als Entwurf

